"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date","Test Case Description"
"ReSchedule","ReSchedule_MonthlyTC15_1","Repayment_Schedule","restrequest","OK","","31-Jul-2020 17_06","Single tranche (Loan Term Change : Increase loan term) on  Emi date (Multi-Rescheduling on same date) on 365 days calculation",
"ReSchedule","ReSchedule_MonthlyTC15_1","validation_RepaymentSchedule","groovy","OK","","31-Jul-2020 17_06",
"ReSchedule","ReSchedule_MonthlyTC15_1","ReSchedule","restrequest","OK","","31-Jul-2020 17_06","Single tranche (Loan Term Change : Increase loan term) on  Emi date (Multi-Rescheduling on same date) on 365 days calculation",
"ReSchedule","ReSchedule_MonthlyTC15_1","ReSchedule-Save","restrequest","OK","","31-Jul-2020 17_06","Single tranche (Loan Term Change : Increase loan term) on  Emi date (Multi-Rescheduling on same date) on 365 days calculation",
"ReSchedule","ReSchedule_MonthlyTC15_1","Patch","restrequest","OK","","31-Jul-2020 17_06","Single tranche (Loan Term Change : Increase loan term) on  Emi date (Multi-Rescheduling on same date) on 365 days calculation",
"ReSchedule","ReSchedule_MonthlyTC15_1","ReSchedule1","restrequest","OK","","31-Jul-2020 17_06","Single tranche (Loan Term Change : Increase loan term) on  Emi date (Multi-Rescheduling on same date) on 365 days calculation",
"ReSchedule","ReSchedule_MonthlyTC15_1","ReSchedule-Save1","restrequest","OK","","31-Jul-2020 17_06","Single tranche (Loan Term Change : Increase loan term) on  Emi date (Multi-Rescheduling on same date) on 365 days calculation",
"ReSchedule","ReSchedule_MonthlyTC15_1","Patch1","restrequest","OK","","31-Jul-2020 17_06","Single tranche (Loan Term Change : Increase loan term) on  Emi date (Multi-Rescheduling on same date) on 365 days calculation",
"ReSchedule","ReSchedule_MonthlyTC15_1","ReSchedule2","restrequest","OK","","31-Jul-2020 17_06","Single tranche (Loan Term Change : Increase loan term) on  Emi date (Multi-Rescheduling on same date) on 365 days calculation",
"ReSchedule","ReSchedule_MonthlyTC15_1","ReSchedule-Save2","restrequest","OK","","31-Jul-2020 17_06","Single tranche (Loan Term Change : Increase loan term) on  Emi date (Multi-Rescheduling on same date) on 365 days calculation",
"ReSchedule","ReSchedule_MonthlyTC15_1","Patch2","restrequest","OK","","31-Jul-2020 17_06","Single tranche (Loan Term Change : Increase loan term) on  Emi date (Multi-Rescheduling on same date) on 365 days calculation",
"ReSchedule","ReSchedule_MonthlyTC15_1","validation_ReSchedule","groovy","OK","","31-Jul-2020 17_06",
"ReSchedule","ReSchedule_MonthlyTC15_1","Properties","properties","OK","","31-Jul-2020 17_06",
